criterion,component,score_1_best_5_worst,source,rationale
Reliability,Use Phase,2,Microsoft/WSP released pedigree matrix assessment,"Use Phase: Use phase energy was all calculated using PUE data directly from Microsoft for all four cooling technologies. The data used, which is a combination of measured data and estimated data, for the use phase energy calculation is highly relevant. The calculation for use phase water was calculated using cycles of concentration and datacenter temperature control characteristics, for which a combination of data from Microsoft and literature were used. Exact matches for electricity and water datasets were available in LCA for Experts. Overall the reliability for use phase calculation is good and is scored as 2."
Reliability,Building,2,Microsoft/WSP released pedigree matrix assessment,"Building: The building characteristics were different for an air cooled datacenter when compared to that of immersion cooled and cold plate cooled datacenters. The building design is exactly the same for One Phase immersion, Two phase immersion and Col plate cooled datacenters. The material information for all datacenters, like concrete, steel, glass, were estimated based on the enclosure area data provided by Microsoft. The materials data were matched exactly to their corresponding datasets in Tally, a plug-in for Autodesk Revit that quantifies environmental impacts. The data used for the building impacts model is good and is scored at 2."
Reliability,Compute Server,3,Microsoft/WSP released pedigree matrix assessment,"Compute Server: The compute server for BoM was provided for the air-cooled data center by Microsoft. The data about the adjustments necessary for the same server to be used in immersion cooled and cold plate cooled datacenters were also provided by Microsoft. Hence the data used for modeling was a combination of measured data and estimated data. The datasets for all identified within the electronics data in LCA for Experts. When exact matches were not available, proxy datasets were used. Proxies were identified and matched based on the best matches for the technology type, die area, package type (in cases of Integrated Circuits or ICs), type and number of leads or connections, absence or presence of precious metals (e.g., gold), and function of component. In cases where the closest matches by these factors were available, but the size or capacity of the component in the database did not match that of the item on the BoM, datasets were scaled according to area or mass of component. The end of life of the compute server is modeled based on the disposal practices within Microsoft. The disposal datasets are not component specific but material specific and the best matches were identified for modeling. Due to the proxy data used for the electronics data, the reliability is average and is scored at 3."
Reliability,Storage Server,4,Microsoft/WSP released pedigree matrix assessment,"Storage Server: A full BoM was not provided for the storage server, but the key components of the storage server were provided by Microsoft. The models developed for the compute server were adapted for the storage server components. Along with adapted models, existing LCA summaries were used to build unit processes in LCA for Experts. The end of life of the storage server is modeled based on the disposal practices within Microsoft. The disposal datasets are not component specific but material specific and the best matches were identified for modeling. Due to the literature data used and the proxy matching for components, the reliability is below average and is scored at 4."
Reliability,Networking Equipment,5,Microsoft/WSP released pedigree matrix assessment,"Networking Equipment: A full BoM of networking equipment used in the datacenter was not available. The impacts of the networking equipment were modeled as a proxy, a scaled value from compute server impacts. This scaling was based on expert opinion from Microsoft. The end of life of networking equipment is modeled based on the disposal practices within Microsoft. The disposal datasets are not component specific but material specific and the best matches were identified for modeling. Since an exact match was not available and has limited documentation, the reliability of the network equipment model is low and is scored at 5."
Reliability,Rack/Tank,2,Microsoft/WSP released pedigree matrix assessment,"Rack/Tank: Rack and tank material information was provided by Microsoft. The data provided was matched to the material datasets, either exact matches or closest proxies, available in LCA for experts. The end of life of rack and tank are modeled based on the disposal practices within Microsoft. The disposal datasets are not component specific but material specific and the best matches were identified for modeling. The reliability of the tank or rack data is good and is scored at 2."
Reliability,Cable,3,Microsoft/WSP released pedigree matrix assessment,"Cable: Cable information was not directly available from Microsoft but was adapted from peer reviewed literature. The production and end of life impacts were modeled using this peer reviewed literature and are assumed to be consistent across all cooling technologies. The exact datasets used in the literature were also used in the model. Given the data source was literature with exact matches, the reliability of the model is average and scored as 3."
Reliability,Support Equipment,3,Microsoft/WSP released pedigree matrix assessment,"Support Equipment: The characteristics of the support equipment and their quantities used in the datacenter were provided by Microsoft. The production and end of life impacts of supporting equipment were from a combination of EPDs and LCA for Expert models. When data was available from EPDs, they were used and the data gaps were filled with proxy data from LCA for experts.  Since the data and models were based on literature and some proxy information, the reliability for supporting equipment is average and scored at a 3"
Reliability,Fluid,2,Microsoft/WSP released pedigree matrix assessment,"Fluid: Coolant and immersion fluids were modeled only in the case of cold plate cooling and immersion cooling datacenters. The fluid was modeled for two phase immersion cooling based on data from the producer, the fluid for one phase immersion cooling was proxied using existing hydrocarbon datasets in LCA for experts. The coolant for cold plate was based on the chemical information provided by Microsoft, exact matches for these chemicals were available. Since fluid and coolant models were based on measure and estimated data, the reliability is good and is scored as 2."
Completeness,Use Phase,1,Microsoft/WSP released pedigree matrix assessment,Use Phase: Almost all relevant data used to determine electricity consumption and water consumption at the datacenter were used. The use phase effects of office infrastructure were excluded from this analysis and hence these flows were not modeled. But the analysis has greater than 80% coverage on all inputs and outputs associated with the use phase over the 15 year lifetime of the project. The upstream impacts of electricity production and water production are also covered well by the datasets used. The completeness of the model for use phase is very good and is scored at 1.
